Hour,Generation_Value,Date,Fuel
2,48.642793,3/1/2019,Biomass
2,12313.90423,3/1/2019,Coal
2,1028.914907,3/1/2019,Gas
2,16340.91705,3/1/2019,Gas-CC
2,90.380741,3/1/2019,Hydro
2,5107.033901,3/1/2019,Nuclear
2,-2.020076,3/1/2019,Other
2,0.000432,3/1/2019,Solar
2,4546.634104,3/1/2019,Wind
2,45.5712,3/2/2019,Biomass
2,9076.443029,3/2/2019,Coal
2,553.090828,3/2/2019,Gas
2,12003.83048,3/2/2019,Gas-CC
2,89.823343,3/2/2019,Hydro
2,5104.396948,3/2/2019,Nuclear
2,-1.982213,3/2/2019,Other
2,0,3/2/2019,Solar
2,8070.965417,3/2/2019,Wind
2,46.529924,3/3/2019,Biomass
2,12541.66824,3/3/2019,Coal
2,698.383894,3/3/2019,Gas
2,13350.6845,3/3/2019,Gas-CC
2,60.004978,3/3/2019,Hydro
2,3839.679695,3/3/2019,Nuclear
2,-0.295423,3/3/2019,Other
2,0,3/3/2019,Solar
2,4180.400137,3/3/2019,Wind
2,44.415973,3/4/2019,Biomass
2,10609.64707,3/4/2019,Coal
2,2750.122366,3/4/2019,Gas
2,16645.62052,3/4/2019,Gas-CC
2,95.227848,3/4/2019,Hydro
2,4773.491753,3/4/2019,Nuclear
2,1.065815,3/4/2019,Other
2,0,3/4/2019,Solar
2,10811.38624,3/4/2019,Wind
2,119.836244,3/5/2019,Biomass
2,12717.46384,3/5/2019,Coal
2,6531.95075,3/5/2019,Gas
2,24363.07839,3/5/2019,Gas-CC
2,60.56683,3/5/2019,Hydro
2,5108.234099,3/5/2019,Nuclear
2,-0.697519,3/5/2019,Other
2,0,3/5/2019,Solar
2,2187.82541,3/5/2019,Wind
2,115.404728,3/6/2019,Biomass
2,11836.33945,3/6/2019,Coal
2,2436.242796,3/6/2019,Gas
2,20178.64324,3/6/2019,Gas-CC
2,60.252704,3/6/2019,Hydro
2,5113.284109,3/6/2019,Nuclear
2,0.097757,3/6/2019,Other
2,0,3/6/2019,Solar
2,6780.782718,3/6/2019,Wind
2,144.226132,3/7/2019,Biomass
2,6737.017101,3/7/2019,Coal
2,428.035109,3/7/2019,Gas
2,9373.948983,3/7/2019,Gas-CC
2,62.46117,3/7/2019,Hydro
2,5111.321936,3/7/2019,Nuclear
2,-1.637918,3/7/2019,Other
2,0,3/7/2019,Solar
2,14119.15138,3/7/2019,Wind
2,145.321534,3/8/2019,Biomass
2,4525.542319,3/8/2019,Coal
2,410.811013,3/8/2019,Gas
2,6248.35932,3/8/2019,Gas-CC
2,25.042812,3/8/2019,Hydro
2,5109.743718,3/8/2019,Nuclear
2,2.200103,3/8/2019,Other
2,0,3/8/2019,Solar
2,13983.14224,3/8/2019,Wind
2,115.592806,3/9/2019,Biomass
2,6814.853789,3/9/2019,Coal
2,298.489575,3/9/2019,Gas
2,6455.381218,3/9/2019,Gas-CC
2,21.424639,3/9/2019,Hydro
2,5105.737047,3/9/2019,Nuclear
2,-1.32928,3/9/2019,Other
2,0,3/9/2019,Solar
2,12822.39194,3/9/2019,Wind
2,115.856942,3/10/2019,Biomass
2,5678.778685,3/10/2019,Coal
2,345.37497,3/10/2019,Gas
2,11306.15849,3/10/2019,Gas-CC
2,61.878787,3/10/2019,Hydro
2,5105.934855,3/10/2019,Nuclear
2,2.746216,3/10/2019,Other
2,0,3/10/2019,Solar
2,7885.808027,3/10/2019,Wind
2,116.417886,3/11/2019,Biomass
2,7839.917414,3/11/2019,Coal
2,374.232267,3/11/2019,Gas
2,13701.61004,3/11/2019,Gas-CC
2,61.93615,3/11/2019,Hydro
2,5097.669687,3/11/2019,Nuclear
2,0.501694,3/11/2019,Other
2,0,3/11/2019,Solar
2,4400.280524,3/11/2019,Wind
2,45.493343,3/12/2019,Biomass
2,6926.68022,3/12/2019,Coal
2,396.591708,3/12/2019,Gas
2,12819.38037,3/12/2019,Gas-CC
2,61.730951,3/12/2019,Hydro
2,5097.680715,3/12/2019,Nuclear
2,0.485699,3/12/2019,Other
2,0,3/12/2019,Solar
2,5733.821886,3/12/2019,Wind
2,45.652133,3/13/2019,Biomass
2,4794.210198,3/13/2019,Coal
2,286.341413,3/13/2019,Gas
2,5737.855053,3/13/2019,Gas-CC
2,44.812581,3/13/2019,Hydro
2,5095.492078,3/13/2019,Nuclear
2,1.272067,3/13/2019,Other
2,0,3/13/2019,Solar
2,15299.99499,3/13/2019,Wind
2,45.243978,3/14/2019,Biomass
2,4478.047491,3/14/2019,Coal
2,294.102946,3/14/2019,Gas
2,6215.039352,3/14/2019,Gas-CC
2,86.58683,3/14/2019,Hydro
2,5098.721791,3/14/2019,Nuclear
2,1.468636,3/14/2019,Other
2,0,3/14/2019,Solar
2,15403.69299,3/14/2019,Wind
2,45.518763,3/15/2019,Biomass
2,3826.189992,3/15/2019,Coal
2,400.951823,3/15/2019,Gas
2,7489.236123,3/15/2019,Gas-CC
2,85.884655,3/15/2019,Hydro
2,5094.53905,3/15/2019,Nuclear
2,3.046367,3/15/2019,Other
2,0,3/15/2019,Solar
2,14039.32651,3/15/2019,Wind
2,45.073065,3/16/2019,Biomass
2,8030.061192,3/16/2019,Coal
2,814.416576,3/16/2019,Gas
2,14726.48887,3/16/2019,Gas-CC
2,85.639302,3/16/2019,Hydro
2,5101.133749,3/16/2019,Nuclear
2,2.666143,3/16/2019,Other
2,0,3/16/2019,Solar
2,4554.520205,3/16/2019,Wind
2,45.612867,3/17/2019,Biomass
2,7889.392632,3/17/2019,Coal
2,946.641363,3/17/2019,Gas
2,15552.05864,3/17/2019,Gas-CC
2,85.49142,3/17/2019,Hydro
2,5098.061845,3/17/2019,Nuclear
2,1.7047,3/17/2019,Other
2,0,3/17/2019,Solar
2,2724.181695,3/17/2019,Wind
2,45.725556,3/18/2019,Biomass
2,5227.809533,3/18/2019,Coal
2,734.839732,3/18/2019,Gas
2,14035.93026,3/18/2019,Gas-CC
2,90.210247,3/18/2019,Hydro
2,5097.264871,3/18/2019,Nuclear
2,1.464687,3/18/2019,Other
2,0,3/18/2019,Solar
2,5684.36882,3/18/2019,Wind
2,45.498035,3/19/2019,Biomass
2,4298.588145,3/19/2019,Coal
2,532.501902,3/19/2019,Gas
2,9975.094328,3/19/2019,Gas-CC
2,87.190374,3/19/2019,Hydro
2,5098.659692,3/19/2019,Nuclear
2,0.91655,3/19/2019,Other
2,0,3/19/2019,Solar
2,9954.593972,3/19/2019,Wind
2,41.299395,3/20/2019,Biomass
2,3901.847349,3/20/2019,Coal
2,669.271029,3/20/2019,Gas
2,9834.376101,3/20/2019,Gas-CC
2,61.169473,3/20/2019,Hydro
2,5101.588046,3/20/2019,Nuclear
2,1.034987,3/20/2019,Other
2,0,3/20/2019,Solar
2,10267.11561,3/20/2019,Wind
2,39.597082,3/21/2019,Biomass
2,6023.093263,3/21/2019,Coal
2,1586.84575,3/21/2019,Gas
2,14293.42548,3/21/2019,Gas-CC
2,59.155021,3/21/2019,Hydro
2,5091.305488,3/21/2019,Nuclear
2,0.565067,3/21/2019,Other
2,0,3/21/2019,Solar
2,2809.102245,3/21/2019,Wind
2,44.603968,3/22/2019,Biomass
2,3942.448104,3/22/2019,Coal
2,1438.123655,3/22/2019,Gas
2,8871.664088,3/22/2019,Gas-CC
2,55.214183,3/22/2019,Hydro
2,5087.506133,3/22/2019,Nuclear
2,0.370714,3/22/2019,Other
2,0.007,3/22/2019,Solar
2,9535.408924,3/22/2019,Wind
2,48.171293,3/23/2019,Biomass
2,3759.27535,3/23/2019,Coal
2,460.484222,3/23/2019,Gas
2,6543.91402,3/23/2019,Gas-CC
2,55.48787,3/23/2019,Hydro
2,5076.047786,3/23/2019,Nuclear
2,0.905847,3/23/2019,Other
2,0.0105,3/23/2019,Solar
2,13531.64433,3/23/2019,Wind
2,45.985599,3/24/2019,Biomass
2,4163.014809,3/24/2019,Coal
2,447.480576,3/24/2019,Gas
2,7448.263848,3/24/2019,Gas-CC
2,56.814924,3/24/2019,Hydro
2,5060.822455,3/24/2019,Nuclear
2,-0.835403,3/24/2019,Other
2,0.007,3/24/2019,Solar
2,12090.41347,3/24/2019,Wind
2,43.284456,3/25/2019,Biomass
2,4795.738751,3/25/2019,Coal
2,453.230793,3/25/2019,Gas
2,12410.95379,3/25/2019,Gas-CC
2,56.873979,3/25/2019,Hydro
2,5046.060617,3/25/2019,Nuclear
2,-1.301814,3/25/2019,Other
2,0.0105,3/25/2019,Solar
2,7067.762957,3/25/2019,Wind
2,43.83232,3/26/2019,Biomass
2,3738.922162,3/26/2019,Coal
2,530.842794,3/26/2019,Gas
2,11388.25633,3/26/2019,Gas-CC
2,54.497653,3/26/2019,Hydro
2,5024.286303,3/26/2019,Nuclear
2,0.654913,3/26/2019,Other
2,0.007,3/26/2019,Solar
2,8807.068333,3/26/2019,Wind
2,46.707287,3/27/2019,Biomass
2,3640.35281,3/27/2019,Coal
2,600.086666,3/27/2019,Gas
2,5075.937286,3/27/2019,Gas-CC
2,78.484447,3/27/2019,Hydro
2,5008.134155,3/27/2019,Nuclear
2,1.231557,3/27/2019,Other
2,0.007,3/27/2019,Solar
2,14715.81077,3/27/2019,Wind
2,48.025393,3/28/2019,Biomass
2,3877.304141,3/28/2019,Coal
2,656.362652,3/28/2019,Gas
2,4981.096997,3/28/2019,Gas-CC
2,84.033911,3/28/2019,Hydro
2,4999.278949,3/28/2019,Nuclear
2,0.23721,3/28/2019,Other
2,0.007,3/28/2019,Solar
2,14366.29171,3/28/2019,Wind
2,45.757646,3/29/2019,Biomass
2,3728.638307,3/29/2019,Coal
2,679.095764,3/29/2019,Gas
2,5548.628295,3/29/2019,Gas-CC
2,83.562869,3/29/2019,Hydro
2,4994.495248,3/29/2019,Nuclear
2,0.041161,3/29/2019,Other
2,0.007,3/29/2019,Solar
2,14842.55096,3/29/2019,Wind
2,42.908178,3/30/2019,Biomass
2,4164.951387,3/30/2019,Coal
2,668.234608,3/30/2019,Gas
2,5685.73249,3/30/2019,Gas-CC
2,83.973617,3/30/2019,Hydro
2,4975.653617,3/30/2019,Nuclear
2,-0.943419,3/30/2019,Other
2,0.007,3/30/2019,Solar
2,14418.92936,3/30/2019,Wind
2,41.748857,3/31/2019,Biomass
2,6148.745295,3/31/2019,Coal
2,794.377282,3/31/2019,Gas
2,7935.407373,3/31/2019,Gas-CC
2,39.599644,3/31/2019,Hydro
2,4966.772361,3/31/2019,Nuclear
2,1.289637,3/31/2019,Other
2,0.007,3/31/2019,Solar
2,11406.94659,3/31/2019,Wind
1,48.626021,3/1/2019,Biomass
1,12147.31761,3/1/2019,Coal
1,1010.53778,3/1/2019,Gas
1,16422.53677,3/1/2019,Gas-CC
1,115.651124,3/1/2019,Hydro
1,5106.939698,3/1/2019,Nuclear
1,-1.611726,3/1/2019,Other
1,0.000598,3/1/2019,Solar
1,5440.027683,3/1/2019,Wind
1,46.469307,3/2/2019,Biomass
1,8896.86791,3/2/2019,Coal
1,572.77282,3/2/2019,Gas
1,12439.18219,3/2/2019,Gas-CC
1,115.277255,3/2/2019,Hydro
1,5103.688301,3/2/2019,Nuclear
1,-0.648743,3/2/2019,Other
1,0,3/2/2019,Solar
1,8540.260676,3/2/2019,Wind
1,46.523049,3/3/2019,Biomass
1,12784.21397,3/3/2019,Coal
1,721.025908,3/3/2019,Gas
1,14214.48219,3/3/2019,Gas-CC
1,85.524088,3/3/2019,Hydro
1,3804.716523,3/3/2019,Nuclear
1,-1.082759,3/3/2019,Other
1,0,3/3/2019,Solar
1,4133.65464,3/3/2019,Wind
1,44.97872,3/4/2019,Biomass
1,11223.78278,3/4/2019,Coal
1,2514.45312,3/4/2019,Gas
1,16723.48091,3/4/2019,Gas-CC
1,120.44577,3/4/2019,Hydro
1,4600.011141,3/4/2019,Nuclear
1,0.271771,3/4/2019,Other
1,0,3/4/2019,Solar
1,10603.01577,3/4/2019,Wind
1,120.598808,3/5/2019,Biomass
1,12680.84165,3/5/2019,Coal
1,6345.274633,3/5/2019,Gas
1,24618.40729,3/5/2019,Gas-CC
1,85.395022,3/5/2019,Hydro
1,5107.553244,3/5/2019,Nuclear
1,-0.75117,3/5/2019,Other
1,0,3/5/2019,Solar
1,2154.101266,3/5/2019,Wind
1,115.247355,3/6/2019,Biomass
1,11822.77687,3/6/2019,Coal
1,2502.02097,3/6/2019,Gas
1,20539.71694,3/6/2019,Gas-CC
1,60.914076,3/6/2019,Hydro
1,5112.575445,3/6/2019,Nuclear
1,-0.201574,3/6/2019,Other
1,0,3/6/2019,Solar
1,6274.467749,3/6/2019,Wind
1,144.081943,3/7/2019,Biomass
1,7116.972006,3/7/2019,Coal
1,457.876516,3/7/2019,Gas
1,9631.59669,3/7/2019,Gas-CC
1,62.398542,3/7/2019,Hydro
1,5109.969781,3/7/2019,Nuclear
1,-1.040398,3/7/2019,Other
1,0,3/7/2019,Solar
1,14334.40341,3/7/2019,Wind
1,145.065452,3/8/2019,Biomass
1,5215.852082,3/8/2019,Coal
1,427.106879,3/8/2019,Gas
1,6432.202038,3/8/2019,Gas-CC
1,25.89989,3/8/2019,Hydro
1,5109.370502,3/8/2019,Nuclear
1,1.53451,3/8/2019,Other
1,0,3/8/2019,Solar
1,14151.90697,3/8/2019,Wind
1,115.435716,3/9/2019,Biomass
1,8054.79135,3/9/2019,Coal
1,451.461265,3/9/2019,Gas
1,6860.284809,3/9/2019,Gas-CC
1,21.522166,3/9/2019,Hydro
1,5106.765629,3/9/2019,Nuclear
1,2.141064,3/9/2019,Other
1,0,3/9/2019,Solar
1,12195.59039,3/9/2019,Wind
1,116.042308,3/10/2019,Biomass
1,6524.536754,3/10/2019,Coal
1,414.64136,3/10/2019,Gas
1,11853.34349,3/10/2019,Gas-CC
1,61.732973,3/10/2019,Hydro
1,5105.196118,3/10/2019,Nuclear
1,0.503883,3/10/2019,Other
1,0,3/10/2019,Solar
1,7397.033745,3/10/2019,Wind
1,116.431542,3/11/2019,Biomass
1,8314.420344,3/11/2019,Coal
1,410.718549,3/11/2019,Gas
1,14188.39939,3/11/2019,Gas-CC
1,61.763395,3/11/2019,Hydro
1,5096.938798,3/11/2019,Nuclear
1,0.028601,3/11/2019,Other
1,0,3/11/2019,Solar
1,4690.049957,3/11/2019,Wind
1,46.790232,3/12/2019,Biomass
1,7654.257437,3/12/2019,Coal
1,422.997153,3/12/2019,Gas
1,13595.07781,3/12/2019,Gas-CC
1,61.643853,3/12/2019,Hydro
1,5096.750811,3/12/2019,Nuclear
1,0.779937,3/12/2019,Other
1,0,3/12/2019,Solar
1,5401.911233,3/12/2019,Wind
1,45.765535,3/13/2019,Biomass
1,5421.366844,3/13/2019,Coal
1,393.847994,3/13/2019,Gas
1,5969.018428,3/13/2019,Gas-CC
1,19.67955,3/13/2019,Hydro
1,5097.307297,3/13/2019,Nuclear
1,0.002581,3/13/2019,Other
1,0,3/13/2019,Solar
1,15433.17992,3/13/2019,Wind
1,45.307217,3/14/2019,Biomass
1,5371.602891,3/14/2019,Coal
1,391.550348,3/14/2019,Gas
1,6362.560661,3/14/2019,Gas-CC
1,61.551313,3/14/2019,Hydro
1,5097.751639,3/14/2019,Nuclear
1,-0.366392,3/14/2019,Other
1,0,3/14/2019,Solar
1,15922.60477,3/14/2019,Wind
1,45.527433,3/15/2019,Biomass
1,4179.003035,3/15/2019,Coal
1,474.126183,3/15/2019,Gas
1,7856.886948,3/15/2019,Gas-CC
1,87.937874,3/15/2019,Hydro
1,5093.094413,3/15/2019,Nuclear
1,2.149733,3/15/2019,Other
1,0,3/15/2019,Solar
1,14090.68668,3/15/2019,Wind
1,45.526245,3/16/2019,Biomass
1,8765.590159,3/16/2019,Coal
1,1074.639534,3/16/2019,Gas
1,14978.01996,3/16/2019,Gas-CC
1,61.709002,3/16/2019,Hydro
1,5101.904789,3/16/2019,Nuclear
1,1.770711,3/16/2019,Other
1,0,3/16/2019,Solar
1,4120.923539,3/16/2019,Wind
1,45.922848,3/17/2019,Biomass
1,8065.990098,3/17/2019,Coal
1,970.364497,3/17/2019,Gas
1,15711.61121,3/17/2019,Gas-CC
1,60.474717,3/17/2019,Hydro
1,5097.626672,3/17/2019,Nuclear
1,0.404654,3/17/2019,Other
1,0,3/17/2019,Solar
1,2963.134912,3/17/2019,Wind
1,45.693478,3/18/2019,Biomass
1,5793.940117,3/18/2019,Coal
1,720.233551,3/18/2019,Gas
1,14089.2708,3/18/2019,Gas-CC
1,67.169777,3/18/2019,Hydro
1,5098.751093,3/18/2019,Nuclear
1,0.256266,3/18/2019,Other
1,0,3/18/2019,Solar
1,5595.199311,3/18/2019,Wind
1,45.515913,3/19/2019,Biomass
1,4993.343644,3/19/2019,Coal
1,545.259983,3/19/2019,Gas
1,10914.11936,3/19/2019,Gas-CC
1,63.588802,3/19/2019,Hydro
1,5102.62031,3/19/2019,Nuclear
1,1.106731,3/19/2019,Other
1,0,3/19/2019,Solar
1,9134.31354,3/19/2019,Wind
1,41.816989,3/20/2019,Biomass
1,4292.006545,3/20/2019,Coal
1,692.801875,3/20/2019,Gas
1,10077.93719,3/20/2019,Gas-CC
1,61.651057,3/20/2019,Hydro
1,5101.790541,3/20/2019,Nuclear
1,1.334342,3/20/2019,Other
1,0,3/20/2019,Solar
1,10463.28035,3/20/2019,Wind
1,39.035752,3/21/2019,Biomass
1,6860.998067,3/21/2019,Coal
1,1593.571436,3/21/2019,Gas
1,14870.46113,3/21/2019,Gas-CC
1,59.487352,3/21/2019,Hydro
1,5096.081754,3/21/2019,Nuclear
1,1.855896,3/21/2019,Other
1,0,3/21/2019,Solar
1,2269.654615,3/21/2019,Wind
1,46.838774,3/22/2019,Biomass
1,4210.961403,3/22/2019,Coal
1,1492.079769,3/22/2019,Gas
1,10014.87553,3/22/2019,Gas-CC
1,55.3223,3/22/2019,Hydro
1,5084.662144,3/22/2019,Nuclear
1,1.126364,3/22/2019,Other
1,0.007,3/22/2019,Solar
1,9047.77044,3/22/2019,Wind
1,48.168415,3/23/2019,Biomass
1,3943.364454,3/23/2019,Coal
1,469.409959,3/23/2019,Gas
1,6958.361461,3/23/2019,Gas-CC
1,55.212249,3/23/2019,Hydro
1,5077.584816,3/23/2019,Nuclear
1,-0.375471,3/23/2019,Other
1,0.007,3/23/2019,Solar
1,14183.1957,3/23/2019,Wind
1,45.962892,3/24/2019,Biomass
1,4916.819507,3/24/2019,Coal
1,467.886202,3/24/2019,Gas
1,9079.585415,3/24/2019,Gas-CC
1,56.844982,3/24/2019,Hydro
1,5061.698009,3/24/2019,Nuclear
1,1.72302,3/24/2019,Other
1,0.007,3/24/2019,Solar
1,10668.92751,3/24/2019,Wind
1,43.244695,3/25/2019,Biomass
1,4919.583235,3/25/2019,Coal
1,514.298508,3/25/2019,Gas
1,12472.75238,3/25/2019,Gas-CC
1,56.977157,3/25/2019,Hydro
1,5047.349641,3/25/2019,Nuclear
1,-0.549801,3/25/2019,Other
1,0.007,3/25/2019,Solar
1,8438.804527,3/25/2019,Wind
1,43.806746,3/26/2019,Biomass
1,4050.905902,3/26/2019,Coal
1,544.615263,3/26/2019,Gas
1,12271.904,3/26/2019,Gas-CC
1,54.56452,3/26/2019,Hydro
1,5021.116849,3/26/2019,Nuclear
1,1.353453,3/26/2019,Other
1,0.007,3/26/2019,Solar
1,9146.808216,3/26/2019,Wind
1,46.687872,3/27/2019,Biomass
1,3853.880011,3/27/2019,Coal
1,618.414546,3/27/2019,Gas
1,5549.079417,3/27/2019,Gas-CC
1,54.765194,3/27/2019,Hydro
1,5009.544882,3/27/2019,Nuclear
1,-0.100599,3/27/2019,Other
1,0.0105,3/27/2019,Solar
1,15034.13056,3/27/2019,Wind
1,47.990126,3/28/2019,Biomass
1,3764.290764,3/28/2019,Coal
1,658.998013,3/28/2019,Gas
1,5343.168125,3/28/2019,Gas-CC
1,62.378439,3/28/2019,Hydro
1,4999.217567,3/28/2019,Nuclear
1,1.643557,3/28/2019,Other
1,0.007,3/28/2019,Solar
1,15170.65318,3/28/2019,Wind
1,45.703626,3/29/2019,Biomass
1,4149.481493,3/29/2019,Coal
1,680.09953,3/29/2019,Gas
1,5800.748728,3/29/2019,Gas-CC
1,58.82674,3/29/2019,Hydro
1,4994.439475,3/29/2019,Nuclear
1,1.427115,3/29/2019,Other
1,0.0105,3/29/2019,Solar
1,15400.12757,3/29/2019,Wind
1,41.983927,3/30/2019,Biomass
1,4496.969819,3/30/2019,Coal
1,708.803549,3/30/2019,Gas
1,6594.655224,3/30/2019,Gas-CC
1,59.363368,3/30/2019,Hydro
