Hour,Generation_Value,Date,Fuel
2,21.341834,1/17/2021,Biomass
2,10506.37694,1/17/2021,Coal
2,954.725586,1/17/2021,Gas
2,15355.59253,1/17/2021,Gas-CC
2,54.026656,1/17/2021,Hydro
2,5119.874809,1/17/2021,Nuclear
2,-6.634094,1/17/2021,Other
2,0.003632,1/17/2021,Solar
2,6498.505536,1/17/2021,Wind
2,19.210729,1/18/2021,Biomass
2,6134.131815,1/18/2021,Coal
2,613.909733,1/18/2021,Gas
2,7063.679926,1/18/2021,Gas-CC
2,69.285723,1/18/2021,Hydro
2,5119.686297,1/18/2021,Nuclear
2,-7.134414,1/18/2021,Other
2,0.001446,1/18/2021,Solar
2,19089.73637,1/18/2021,Wind
2,20.34583,1/19/2021,Biomass
2,4216.104356,1/19/2021,Coal
2,625.00078,1/19/2021,Gas
2,3933.736717,1/19/2021,Gas-CC
2,54.925403,1/19/2021,Hydro
2,5118.849088,1/19/2021,Nuclear
2,-10.696287,1/19/2021,Other
2,0.003405,1/19/2021,Solar
2,18565.12621,1/19/2021,Wind
2,18.816193,1/20/2021,Biomass
2,10134.54971,1/20/2021,Coal
2,702.133754,1/20/2021,Gas
2,14792.53417,1/20/2021,Gas-CC
2,55.425292,1/20/2021,Hydro
2,5116.689544,1/20/2021,Nuclear
2,-15.011516,1/20/2021,Other
2,0.003816,1/20/2021,Solar
2,3321.05731,1/20/2021,Wind
2,20.598984,1/21/2021,Biomass
2,7395.33947,1/21/2021,Coal
2,550.54311,1/21/2021,Gas
2,8693.516431,1/21/2021,Gas-CC
2,55.975162,1/21/2021,Hydro
2,5114.497838,1/21/2021,Nuclear
2,-9.346052,1/21/2021,Other
2,0.002763,1/21/2021,Solar
2,13600.71688,1/21/2021,Wind
2,21.991098,1/22/2021,Biomass
2,6846.501194,1/22/2021,Coal
2,538.628963,1/22/2021,Gas
2,12693.86958,1/22/2021,Gas-CC
2,55.632054,1/22/2021,Hydro
2,5112.071169,1/22/2021,Nuclear
2,-10.806664,1/22/2021,Other
2,0.003144,1/22/2021,Solar
2,7948.600502,1/22/2021,Wind
2,21.766802,1/23/2021,Biomass
2,9382.086782,1/23/2021,Coal
2,501.179555,1/23/2021,Gas
2,14964.6064,1/23/2021,Gas-CC
2,56.108991,1/23/2021,Hydro
2,5101.416205,1/23/2021,Nuclear
2,-4.04072,1/23/2021,Other
2,0.003661,1/23/2021,Solar
2,3646.642052,1/23/2021,Wind
2,19.756138,1/24/2021,Biomass
2,8226.410249,1/24/2021,Coal
2,495.282482,1/24/2021,Gas
2,6378.764977,1/24/2021,Gas-CC
2,57.567639,1/24/2021,Hydro
2,5103.30229,1/24/2021,Nuclear
2,-5.45426,1/24/2021,Other
2,0.003005,1/24/2021,Solar
2,12732.83219,1/24/2021,Wind
2,19.611907,1/25/2021,Biomass
2,5969.811244,1/25/2021,Coal
2,452.099997,1/25/2021,Gas
2,4841.378546,1/25/2021,Gas-CC
2,58.720907,1/25/2021,Hydro
2,5107.149971,1/25/2021,Nuclear
2,-2.723151,1/25/2021,Other
2,0.003724,1/25/2021,Solar
2,16019.57402,1/25/2021,Wind
2,20.739507,1/26/2021,Biomass
2,7709.833298,1/26/2021,Coal
2,491.407425,1/26/2021,Gas
2,11591.59921,1/26/2021,Gas-CC
2,56.781113,1/26/2021,Hydro
2,5092.311584,1/26/2021,Nuclear
2,-4.826,1/26/2021,Other
2,0.00323,1/26/2021,Solar
2,8310.843752,1/26/2021,Wind
2,22.009269,1/27/2021,Biomass
2,8205.335501,1/27/2021,Coal
2,1213.973294,1/27/2021,Gas
2,13004.01199,1/27/2021,Gas-CC
2,55.82307,1/27/2021,Hydro
2,5102.897071,1/27/2021,Nuclear
2,-8.789363,1/27/2021,Other
2,0.001987,1/27/2021,Solar
2,6727.531196,1/27/2021,Wind
2,17.391349,1/28/2021,Biomass
2,5978.11109,1/28/2021,Coal
2,1453.053619,1/28/2021,Gas
2,15180.98413,1/28/2021,Gas-CC
2,53.248987,1/28/2021,Hydro
2,5091.46885,1/28/2021,Nuclear
2,-1.578553,1/28/2021,Other
2,0.002059,1/28/2021,Solar
2,11899.72505,1/28/2021,Wind
2,21.792471,1/29/2021,Biomass
2,6999.924445,1/29/2021,Coal
2,593.177211,1/29/2021,Gas
2,9528.051566,1/29/2021,Gas-CC
2,52.275448,1/29/2021,Hydro
2,5095.489053,1/29/2021,Nuclear
2,2.19014,1/29/2021,Other
2,0.003231,1/29/2021,Solar
2,17000.62901,1/29/2021,Wind
2,22.188123,1/30/2021,Biomass
2,5151.993273,1/30/2021,Coal
2,511.201596,1/30/2021,Gas
2,3842.631829,1/30/2021,Gas-CC
2,60.288833,1/30/2021,Hydro
2,5102.695368,1/30/2021,Nuclear
2,-6.980818,1/30/2021,Other
2,0.002476,1/30/2021,Solar
2,19457.36216,1/30/2021,Wind
2,18.52836,1/31/2021,Biomass
2,8597.534074,1/31/2021,Coal
2,480.917005,1/31/2021,Gas
2,5981.918495,1/31/2021,Gas-CC
2,57.563698,1/31/2021,Hydro
2,5091.858741,1/31/2021,Nuclear
2,-6.39135,1/31/2021,Other
2,0.003852,1/31/2021,Solar
2,12625.70468,1/31/2021,Wind
20,17.20234,1/1/2021,Biomass
20,12016.08584,1/1/2021,Coal
20,2039.143447,1/1/2021,Gas
20,23044.16913,1/1/2021,Gas-CC
20,53.578578,1/1/2021,Hydro
20,5111.158413,1/1/2021,Nuclear
20,0.282468,1/1/2021,Other
20,2.388191,1/1/2021,Solar
20,3630.275327,1/1/2021,Wind
20,18.44235,1/2/2021,Biomass
20,6585.069503,1/2/2021,Coal
20,1337.625564,1/2/2021,Gas
20,14322.11484,1/2/2021,Gas-CC
20,53.497519,1/2/2021,Hydro
20,5113.449738,1/2/2021,Nuclear
20,23.198292,1/2/2021,Other
20,0.011439,1/2/2021,Solar
20,15285.84272,1/2/2021,Wind
20,18.645973,1/3/2021,Biomass
20,9498.870666,1/3/2021,Coal
20,761.08042,1/3/2021,Gas
20,16073.88392,1/3/2021,Gas-CC
20,53.215197,1/3/2021,Hydro
20,5106.548544,1/3/2021,Nuclear
20,9.335403,1/3/2021,Other
20,0.012822,1/3/2021,Solar
20,8249.435296,1/3/2021,Wind
20,17.001588,1/4/2021,Biomass
20,11452.32897,1/4/2021,Coal
20,1163.641123,1/4/2021,Gas
20,19971.10425,1/4/2021,Gas-CC
20,56.941162,1/4/2021,Hydro
20,5117.663435,1/4/2021,Nuclear
20,1.1771,1/4/2021,Other
20,2.371646,1/4/2021,Solar
20,3385.207324,1/4/2021,Wind
20,21.59526,1/5/2021,Biomass
20,7370.829526,1/5/2021,Coal
20,571.620325,1/5/2021,Gas
20,8235.378921,1/5/2021,Gas-CC
20,56.874522,1/5/2021,Hydro
20,5111.311341,1/5/2021,Nuclear
20,-0.469006,1/5/2021,Other
20,0.002864,1/5/2021,Solar
20,20043.12191,1/5/2021,Wind
20,21.79111,1/6/2021,Biomass
20,8044.501336,1/6/2021,Coal
20,627.363814,1/6/2021,Gas
20,10550.91614,1/6/2021,Gas-CC
20,80.732658,1/6/2021,Hydro
20,5112.868717,1/6/2021,Nuclear
20,1.403797,1/6/2021,Other
20,2.63009,1/6/2021,Solar
20,18791.14465,1/6/2021,Wind
20,21.544834,1/7/2021,Biomass
20,12127.13935,1/7/2021,Coal
20,1474.536515,1/7/2021,Gas
20,21227.56055,1/7/2021,Gas-CC
20,82.200449,1/7/2021,Hydro
20,5112.985191,1/7/2021,Nuclear
20,7.479414,1/7/2021,Other
20,0.002274,1/7/2021,Solar
20,4760.140382,1/7/2021,Wind
20,23.174797,1/8/2021,Biomass
20,12960.48087,1/8/2021,Coal
20,2066.119348,1/8/2021,Gas
20,22163.76672,1/8/2021,Gas-CC
20,41.765688,1/8/2021,Hydro
20,5109.211337,1/8/2021,Nuclear
20,8.718971,1/8/2021,Other
20,8.102,1/8/2021,Solar
20,3823.673789,1/8/2021,Wind
20,23.424049,1/9/2021,Biomass
20,11581.98827,1/9/2021,Coal
20,955.63137,1/9/2021,Gas
20,18085.11233,1/9/2021,Gas-CC
20,41.998668,1/9/2021,Hydro
20,5109.46334,1/9/2021,Nuclear
20,-0.28105,1/9/2021,Other
20,0.002496,1/9/2021,Solar
20,9433.340509,1/9/2021,Wind
20,21.324527,1/10/2021,Biomass
20,10825.28336,1/10/2021,Coal
20,5247.410795,1/10/2021,Gas
20,25176.08052,1/10/2021,Gas-CC
20,83.337457,1/10/2021,Hydro
20,5109.001465,1/10/2021,Nuclear
20,-0.738484,1/10/2021,Other
20,0.002686,1/10/2021,Solar
20,7910.114633,1/10/2021,Wind
20,22.058474,1/11/2021,Biomass
20,11755.32182,1/11/2021,Coal
20,4855.37876,1/11/2021,Gas
20,27677.9117,1/11/2021,Gas-CC
20,41.986248,1/11/2021,Hydro
20,5115.245122,1/11/2021,Nuclear
20,0.000679,1/11/2021,Other
20,0.00258,1/11/2021,Solar
20,2589.504075,1/11/2021,Wind
20,18.977285,1/12/2021,Biomass
20,12286.32835,1/12/2021,Coal
20,2708.063763,1/12/2021,Gas
20,23906.00935,1/12/2021,Gas-CC
20,57.383679,1/12/2021,Hydro
20,5118.754795,1/12/2021,Nuclear
20,-1.047463,1/12/2021,Other
20,3.988303,1/12/2021,Solar
20,5066.87166,1/12/2021,Wind
20,22.774492,1/13/2021,Biomass
20,11324.75445,1/13/2021,Coal
20,917.045142,1/13/2021,Gas
20,10709.78773,1/13/2021,Gas-CC
20,53.420218,1/13/2021,Hydro
20,5117.038641,1/13/2021,Nuclear
20,-1.325538,1/13/2021,Other
20,7.086779,1/13/2021,Solar
20,16325.56021,1/13/2021,Wind
20,23.41016,1/14/2021,Biomass
20,11147.02034,1/14/2021,Coal
20,1349.484533,1/14/2021,Gas
20,14920.3683,1/14/2021,Gas-CC
20,64.998631,1/14/2021,Hydro
20,5120.899466,1/14/2021,Nuclear
20,-1.1694,1/14/2021,Other
20,9.394057,1/14/2021,Solar
20,9891.250666,1/14/2021,Wind
20,19.670638,1/15/2021,Biomass
20,11505.26381,1/15/2021,Coal
20,1374.201448,1/15/2021,Gas
20,15311.18299,1/15/2021,Gas-CC
20,84.492372,1/15/2021,Hydro
20,5121.061649,1/15/2021,Nuclear
20,0.825481,1/15/2021,Other
20,0.002756,1/15/2021,Solar
20,11820.08983,1/15/2021,Wind
20,23.283156,1/16/2021,Biomass
20,11258.60548,1/16/2021,Coal
20,1249.969036,1/16/2021,Gas
20,16098.42759,1/16/2021,Gas-CC
