Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
10/27/2020,11,LZ_HOUSTON,69.8375
10/25/2020,2,LZ_WEST,-1.225
10/2/2020,7,LZ_HOUSTON,13.2525
10/18/2020,23,LZ_SOUTH,36.215
10/9/2020,6,LZ_SOUTH,15.1375
10/20/2020,19,LZ_NORTH,29.655
10/23/2020,5,LZ_SOUTH,17.715
10/12/2020,4,LZ_WEST,7.87
10/2/2020,13,LZ_WEST,12.24
10/20/2020,15,LZ_WEST,-0.5025
10/7/2020,14,LZ_HOUSTON,32.1575
10/16/2020,16,LZ_NORTH,19.175
10/7/2020,7,LZ_WEST,13.92
10/30/2020,14,LZ_NORTH,23.5375
10/3/2020,18,LZ_NORTH,19.255
10/10/2020,17,LZ_WEST,323.9375
10/10/2020,6,LZ_NORTH,8.79
10/1/2020,4,LZ_SOUTH,15.4125
10/4/2020,9,LZ_WEST,24.2725
10/27/2020,5,LZ_WEST,52.92
10/23/2020,17,LZ_SOUTH,25.01
10/6/2020,4,LZ_WEST,-0.3675
10/3/2020,16,LZ_HOUSTON,36.815
10/28/2020,20,LZ_SOUTH,23.1
10/26/2020,10,LZ_HOUSTON,36.6825
10/13/2020,8,LZ_SOUTH,17.415
10/30/2020,1,LZ_WEST,28.665
10/29/2020,10,LZ_WEST,14.2525
10/14/2020,18,LZ_NORTH,39.85
10/14/2020,22,LZ_SOUTH,42.7925
10/6/2020,22,LZ_SOUTH,16.335
10/28/2020,15,LZ_NORTH,27.9925
10/27/2020,1,LZ_HOUSTON,40.4
10/1/2020,1,LZ_WEST,12.22
10/27/2020,10,LZ_WEST,349.975
10/5/2020,15,LZ_HOUSTON,34.95
10/29/2020,19,LZ_WEST,45.5875
10/13/2020,21,LZ_WEST,22.4525
10/10/2020,22,LZ_SOUTH,16.6275
10/14/2020,1,LZ_WEST,-0.57
10/13/2020,19,LZ_HOUSTON,30.6525
10/4/2020,7,LZ_WEST,14.1075
10/2/2020,22,LZ_NORTH,11.5275
10/9/2020,9,LZ_HOUSTON,17.535
10/2/2020,16,LZ_SOUTH,25.855
10/30/2020,17,LZ_SOUTH,23.2225
10/13/2020,18,LZ_SOUTH,50.565
10/25/2020,14,LZ_WEST,19.5925
10/17/2020,6,LZ_HOUSTON,13.8375
10/16/2020,6,LZ_WEST,15.2275
10/6/2020,24,LZ_WEST,9.3975
10/4/2020,14,LZ_SOUTH,102.7375
10/16/2020,16,LZ_WEST,18.85
10/4/2020,20,LZ_HOUSTON,26.12
10/3/2020,7,LZ_WEST,0.8575
10/30/2020,23,LZ_NORTH,20.0175
10/4/2020,12,LZ_SOUTH,15.3875
10/11/2020,3,LZ_SOUTH,12.8875
10/21/2020,12,LZ_HOUSTON,25.0175
10/18/2020,12,LZ_HOUSTON,21.9925
10/9/2020,22,LZ_SOUTH,18.405
10/19/2020,9,LZ_WEST,59.295
10/14/2020,5,LZ_WEST,-1.11
10/30/2020,15,LZ_HOUSTON,22.265
10/29/2020,7,LZ_SOUTH,19.4675
10/9/2020,15,LZ_NORTH,32.5475
10/15/2020,12,LZ_WEST,-3.375
10/30/2020,13,LZ_SOUTH,24.165
10/28/2020,7,LZ_NORTH,63.0675
10/18/2020,19,LZ_HOUSTON,24.8425
10/5/2020,5,LZ_WEST,34.3225
10/1/2020,22,LZ_WEST,16.2925
10/9/2020,17,LZ_WEST,394.885
10/26/2020,2,LZ_HOUSTON,16.1875
10/16/2020,5,LZ_HOUSTON,15.4225
10/6/2020,3,LZ_NORTH,6.3825
10/2/2020,4,LZ_NORTH,11.585
10/7/2020,4,LZ_SOUTH,11.595
10/17/2020,9,LZ_SOUTH,10.28
10/29/2020,12,LZ_SOUTH,10.725
10/22/2020,17,LZ_WEST,-1.505
10/21/2020,23,LZ_WEST,-2.54
10/3/2020,10,LZ_HOUSTON,9.8375
10/28/2020,24,LZ_SOUTH,18.415
10/18/2020,15,LZ_WEST,27.63
10/5/2020,10,LZ_SOUTH,19.64
10/6/2020,14,LZ_WEST,31.6
10/23/2020,20,LZ_WEST,20.0925
10/25/2020,6,LZ_NORTH,14.995
10/22/2020,3,LZ_WEST,-2.58
10/18/2020,17,LZ_HOUSTON,28.28
10/12/2020,1,LZ_WEST,4.1225
10/10/2020,18,LZ_WEST,147.8825
10/21/2020,20,LZ_SOUTH,26.2625
10/19/2020,2,LZ_NORTH,21.9175
10/16/2020,1,LZ_HOUSTON,20.245
10/22/2020,14,LZ_WEST,-1.645
10/14/2020,11,LZ_NORTH,13.8425
10/10/2020,5,LZ_HOUSTON,6.4725
10/14/2020,9,LZ_NORTH,12.645
10/16/2020,4,LZ_HOUSTON,15.415
10/31/2020,1,LZ_WEST,-1.245
10/20/2020,2,LZ_NORTH,17.54
10/23/2020,5,LZ_WEST,-1.4925
10/3/2020,2,LZ_NORTH,2.7275
10/3/2020,14,LZ_SOUTH,19.2025
10/6/2020,3,LZ_HOUSTON,11.03
10/28/2020,17,LZ_SOUTH,14.265
10/7/2020,19,LZ_NORTH,34.7
10/14/2020,3,LZ_SOUTH,16.655
10/8/2020,21,LZ_HOUSTON,21.2375
10/17/2020,5,LZ_SOUTH,11.5075
10/2/2020,4,LZ_SOUTH,11.46
10/16/2020,18,LZ_WEST,20.8575
10/25/2020,5,LZ_SOUTH,12.795
10/12/2020,21,LZ_NORTH,22.4875
10/27/2020,23,LZ_SOUTH,23.055
10/27/2020,18,LZ_HOUSTON,46.595
10/21/2020,22,LZ_SOUTH,25.28
10/9/2020,22,LZ_NORTH,18.295
10/5/2020,17,LZ_WEST,248.2
10/4/2020,15,LZ_NORTH,81.4975
10/18/2020,6,LZ_HOUSTON,11.6375
10/3/2020,11,LZ_NORTH,6.91
