Delivery Date,Delivery Hour,Settlement Point Name,Settlement Point Price
1/5/2021,22,LZ_WEST,10.1175
1/18/2021,5,LZ_HOUSTON,14.085
1/14/2021,24,LZ_SOUTH,6.3725
1/30/2021,17,LZ_SOUTH,20.015
1/16/2021,19,LZ_WEST,27.2675
1/23/2021,11,LZ_WEST,19.9725
1/15/2021,9,LZ_SOUTH,23.665
1/6/2021,20,LZ_WEST,14.6825
1/3/2021,21,LZ_HOUSTON,17.0325
1/21/2021,17,LZ_WEST,21.6075
1/8/2021,21,LZ_WEST,26.62
1/7/2021,23,LZ_WEST,18.0575
1/4/2021,23,LZ_HOUSTON,18.3725
1/12/2021,17,LZ_SOUTH,20.2425
1/28/2021,9,LZ_HOUSTON,22.795
1/10/2021,16,LZ_SOUTH,16.595
1/21/2021,16,LZ_NORTH,18.6725
1/26/2021,7,LZ_WEST,18.6575
1/17/2021,11,LZ_SOUTH,21.8025
1/16/2021,15,LZ_SOUTH,19.0325
1/16/2021,7,LZ_HOUSTON,35.38
1/28/2021,4,LZ_SOUTH,11.59
1/5/2021,24,LZ_SOUTH,-0.51
1/9/2021,6,LZ_NORTH,31.4925
1/17/2021,13,LZ_HOUSTON,18.0975
1/21/2021,24,LZ_WEST,16.205
1/8/2021,6,LZ_WEST,18.3325
1/22/2021,12,LZ_NORTH,19.1675
1/27/2021,23,LZ_WEST,17.1925
1/19/2021,4,LZ_NORTH,-0.9075
1/23/2021,24,LZ_WEST,16.6525
1/29/2021,10,LZ_HOUSTON,18.76
1/12/2021,16,LZ_WEST,17.4325
1/18/2021,13,LZ_HOUSTON,15.7975
1/4/2021,10,LZ_HOUSTON,15.295
1/19/2021,17,LZ_SOUTH,5.785
1/4/2021,6,LZ_WEST,13.8
1/29/2021,7,LZ_HOUSTON,18.9125
1/26/2021,5,LZ_HOUSTON,17.895
1/4/2021,1,LZ_SOUTH,5.1725
1/12/2021,20,LZ_WEST,23.055
1/15/2021,21,LZ_SOUTH,21.985
1/17/2021,18,LZ_WEST,35.01
1/17/2021,22,LZ_NORTH,19.6875
1/13/2021,10,LZ_SOUTH,29.475
1/7/2021,24,LZ_NORTH,17.5175
1/25/2021,22,LZ_NORTH,23.8875
1/3/2021,16,LZ_HOUSTON,17.055
1/13/2021,18,LZ_WEST,24.6225
1/16/2021,20,LZ_WEST,30.44
1/14/2021,2,LZ_NORTH,17.595
1/31/2021,11,LZ_WEST,8.1425
1/2/2021,1,LZ_HOUSTON,18.7725
1/3/2021,11,LZ_SOUTH,16.74
1/23/2021,16,LZ_SOUTH,18.245
1/29/2021,17,LZ_NORTH,16.9375
1/9/2021,5,LZ_SOUTH,30.2075
1/17/2021,2,LZ_WEST,24.7775
1/22/2021,20,LZ_WEST,20.335
1/30/2021,15,LZ_SOUTH,19.24
1/1/2021,1,LZ_NORTH,14.995
1/25/2021,13,LZ_SOUTH,37.4325
1/27/2021,22,LZ_SOUTH,17.92
1/29/2021,22,LZ_NORTH,15.5975
1/21/2021,18,LZ_WEST,215.915
1/18/2021,2,LZ_NORTH,9.97
1/24/2021,24,LZ_WEST,19.69
1/4/2021,11,LZ_HOUSTON,14.69
1/19/2021,14,LZ_WEST,15.44
1/23/2021,8,LZ_HOUSTON,18.6175
1/16/2021,19,LZ_HOUSTON,27.325
1/28/2021,4,LZ_NORTH,16.2875
1/23/2021,19,LZ_NORTH,22.375
1/14/2021,17,LZ_NORTH,15.2
1/23/2021,2,LZ_HOUSTON,18.5425
1/26/2021,24,LZ_WEST,103.9575
1/9/2021,12,LZ_NORTH,25.145
1/26/2021,9,LZ_WEST,22.2075
1/27/2021,8,LZ_NORTH,17.44
1/14/2021,1,LZ_NORTH,18.8375
1/7/2021,18,LZ_WEST,156.905
1/7/2021,2,LZ_SOUTH,11.1175
1/6/2021,13,LZ_HOUSTON,14.15
1/10/2021,10,LZ_HOUSTON,24.165
1/6/2021,4,LZ_NORTH,1.3475
1/17/2021,16,LZ_NORTH,17.48
1/14/2021,16,LZ_WEST,5.7425
1/28/2021,23,LZ_HOUSTON,16.8425
1/9/2021,3,LZ_SOUTH,30.9275
1/2/2021,18,LZ_NORTH,16.18
1/29/2021,7,LZ_SOUTH,19.8825
1/21/2021,13,LZ_HOUSTON,96.1825
1/19/2021,17,LZ_HOUSTON,17.35
1/21/2021,17,LZ_HOUSTON,21.0175
1/8/2021,2,LZ_HOUSTON,17.7175
1/6/2021,14,LZ_SOUTH,14.345
1/13/2021,8,LZ_SOUTH,86.24
1/3/2021,22,LZ_NORTH,15.505
1/21/2021,10,LZ_NORTH,20.65
1/1/2021,8,LZ_SOUTH,17.705
1/3/2021,13,LZ_HOUSTON,17.36
1/26/2021,19,LZ_WEST,20.95
1/10/2021,17,LZ_WEST,28.325
1/11/2021,10,LZ_HOUSTON,28.3875
1/31/2021,6,LZ_NORTH,16.4025
1/23/2021,16,LZ_NORTH,18.085
1/12/2021,15,LZ_HOUSTON,17.095
1/21/2021,14,LZ_HOUSTON,26.0125
1/21/2021,10,LZ_SOUTH,21.4225
1/3/2021,12,LZ_NORTH,17.0575
1/18/2021,18,LZ_NORTH,16.9425
1/28/2021,5,LZ_WEST,16.875
1/6/2021,4,LZ_WEST,1.33
1/1/2021,22,LZ_NORTH,27.275
1/31/2021,20,LZ_HOUSTON,23.385
1/1/2021,23,LZ_WEST,19.63
1/28/2021,3,LZ_WEST,15.6225
1/16/2021,4,LZ_SOUTH,29.8425
1/25/2021,2,LZ_SOUTH,3.2175
1/12/2021,16,LZ_NORTH,17.0575
1/23/2021,6,LZ_HOUSTON,17.5425
1/21/2021,7,LZ_WEST,2.7375
1/2/2021,22,LZ_HOUSTON,15.7
1/11/2021,16,LZ_WEST,20.18
1/27/2021,18,LZ_HOUSTON,19.3675
