Hour,Generation_Value,Date,Fuel
2,38.251004,3/1/2020,Biomass
2,3869.862094,3/1/2020,Coal
2,506.630406,3/1/2020,Gas
2,4945.395839,3/1/2020,Gas-CC
2,41.818817,3/1/2020,Hydro
2,5098.256122,3/1/2020,Nuclear
2,-0.171995,3/1/2020,Other
2,0.0035,3/1/2020,Solar
2,16212.22448,3/1/2020,Wind
2,38.077481,3/2/2020,Biomass
2,4385.183556,3/2/2020,Coal
2,617.101827,3/2/2020,Gas
2,7482.1036,3/2/2020,Gas-CC
2,43.57163,3/2/2020,Hydro
2,5098.404035,3/2/2020,Nuclear
2,-4.3755,3/2/2020,Other
2,0.0035,3/2/2020,Solar
2,12034.68129,3/2/2020,Wind
2,36.684319,3/3/2020,Biomass
2,4389.450394,3/3/2020,Coal
2,981.286356,3/3/2020,Gas
2,9798.74663,3/3/2020,Gas-CC
2,40.032892,3/3/2020,Hydro
2,5098.122126,3/3/2020,Nuclear
2,-8.344127,3/3/2020,Other
2,0.0035,3/3/2020,Solar
2,11209.82818,3/3/2020,Wind
2,36.730625,3/4/2020,Biomass
2,6515.903569,3/4/2020,Coal
2,895.586894,3/4/2020,Gas
2,11293.08214,3/4/2020,Gas-CC
2,69.077681,3/4/2020,Hydro
2,5090.582113,3/4/2020,Nuclear
2,-1.849107,3/4/2020,Other
2,0.0035,3/4/2020,Solar
2,7913.81152,3/4/2020,Wind
2,38.109554,3/5/2020,Biomass
2,4976.98354,3/5/2020,Coal
2,1041.072972,3/5/2020,Gas
2,10606.95541,3/5/2020,Gas-CC
2,69.860865,3/5/2020,Hydro
2,5088.426612,3/5/2020,Nuclear
2,-1.278464,3/5/2020,Other
2,0.0035,3/5/2020,Solar
2,10933.73204,3/5/2020,Wind
2,36.786342,3/6/2020,Biomass
2,4242.338463,3/6/2020,Coal
2,665.876203,3/6/2020,Gas
2,14051.28019,3/6/2020,Gas-CC
2,107.7885,3/6/2020,Hydro
2,5092.803102,3/6/2020,Nuclear
2,-1.286806,3/6/2020,Other
2,0.0035,3/6/2020,Solar
2,7458.126111,3/6/2020,Wind
2,39.207347,3/7/2020,Biomass
2,3601.759758,3/7/2020,Coal
2,636.128293,3/7/2020,Gas
2,7503.712916,3/7/2020,Gas-CC
2,74.047255,3/7/2020,Hydro
2,4697.958974,3/7/2020,Nuclear
2,-0.601966,3/7/2020,Other
2,0.0035,3/7/2020,Solar
2,15995.90762,3/7/2020,Wind
2,40.926103,3/8/2020,Biomass
2,3644.636778,3/8/2020,Coal
2,655.959745,3/8/2020,Gas
2,6324.120927,3/8/2020,Gas-CC
2,75.217118,3/8/2020,Hydro
2,5091.388066,3/8/2020,Nuclear
2,-4.101514,3/8/2020,Other
2,0.0035,3/8/2020,Solar
2,17493.74143,3/8/2020,Wind
2,39.91438,3/9/2020,Biomass
2,2841.074206,3/9/2020,Coal
2,651.612165,3/9/2020,Gas
2,5352.361411,3/9/2020,Gas-CC
2,77.117347,3/9/2020,Hydro
2,5090.585008,3/9/2020,Nuclear
2,16.090302,3/9/2020,Other
2,0.0035,3/9/2020,Solar
2,16507.72219,3/9/2020,Wind
2,39.296848,3/10/2020,Biomass
2,2438.0108,3/10/2020,Coal
2,860.839843,3/10/2020,Gas
2,13130.69166,3/10/2020,Gas-CC
2,76.432225,3/10/2020,Hydro
2,5089.310524,3/10/2020,Nuclear
2,-4.937807,3/10/2020,Other
2,0.0035,3/10/2020,Solar
2,9749.051016,3/10/2020,Wind
2,37.506491,3/11/2020,Biomass
2,2254.20009,3/11/2020,Coal
2,776.816818,3/11/2020,Gas
2,7785.249344,3/11/2020,Gas-CC
2,76.224247,3/11/2020,Hydro
2,5089.637089,3/11/2020,Nuclear
2,-14.181766,3/11/2020,Other
2,0.0035,3/11/2020,Solar
2,16362.57265,3/11/2020,Wind
2,32.477437,3/12/2020,Biomass
2,3220.555501,3/12/2020,Coal
2,682.102524,3/12/2020,Gas
2,8326.935355,3/12/2020,Gas-CC
2,76.574212,3/12/2020,Hydro
2,5079.569665,3/12/2020,Nuclear
